JamaicaCenterParsons_Archer	SutphinBoulevardArcherAvenueJFKAirport
SutphinBoulevardArcherAvenueJFKAirport	JamaicaVanWyck
JamaicaVanWyck	BriarwoodVanWyckBoulevard
BriarwoodVanWyckBoulevard	KewGardensUnionTurnpike
KewGardensUnionTurnpike	75thAvenue
75thAvenue	ForestHills71stAvenue
ForestHills71stAvenue	67thAvenue
67thAvenue	63rdDriveRegoPark
63rdDriveRegoPark	WoodhavenBoulevardEGRV
WoodhavenBoulevardEGRV	GrandAvenueNewtown
GrandAvenueNewtown	ElmhurstAvenue
ElmhurstAvenue	RooseveltAvenue_74thStreet
RooseveltAvenue_74thStreet	65thStreet
65thStreet	NorthernBoulevard
NorthernBoulevard	46thStreet
46thStreet	SteinwayStreet
SteinwayStreet	36thStreetEGRV
36thStreetEGRV	QueensPlaza
QueensPlaza	23rdStreetElyAvenue
23rdStreetElyAvenue	LexingtonAvenue53rdStreet
LexingtonAvenue53rdStreet	FifthAvenue_53rdStreet
FifthAvenue_53rdStreet	SeventhAvenueMANH
SeventhAvenueMANH	50thStreetACE
50thStreetACE	42ndStreetPortAuthorityBusTerminal
42ndStreetPortAuthorityBusTerminal	34thStreetPennStationACE
34thStreetPennStationACE	23rdStreetACE
23rdStreetACE	14thStreet_EighthAvenue
14thStreet_EighthAvenue	WestFourthStreetWashingtonSquare
WestFourthStreetWashingtonSquare	SpringStreetACE
SpringStreetACE	CanalStreetACE
CanalStreetACE	ChambersStreet_WorldTradeCenter
